"タイトル","説明","品物番号","定価",
"舞台演出用　天井吊下型　スポットライト　平凸（非球面）レンズ　6型　CROCCO （クロッコ）","推奨ランプ：JP100V 500WC／G-5N（GYX9.5）（別売）<br>電源ケーブル：キャブタイヤケーブル1.5m付・C型20Aプラグ付<br>付属品：フィルタホルダ（6型：195×195）・落下防止ワイヤー<br>天井吊下型、6型、平凸（非球面）レンズ<br>注）ハンガーは別売です。","NQ30441BT","85800",
"舞台演出用　天井吊下型　スポットライト　平凸（非球面）レンズ　6型　CROCCO （クロッコ）","推奨ランプ：JP100V 500WC／G-5N（GYX9.5）（別売）<br>電源ケーブル：キャブタイヤケーブル1.5m付・C型20Aプラグ付<br>付属品：フィルタホルダ（6型：195×195）・落下防止ワイヤー<br>天井吊下型、6型、平凸（非球面）レンズ<br>注）ハンガーは別売です。","NQ30441WT","95700",
"舞台演出用　天井吊下型　スポットライト　SS型フレネル（非球面）レンズ　6型　CROCCO （クロッコ）","推奨ランプ：JP100V 500WC／G-5N（GYX9.5）（別売）<br>電源ケーブル：キャブタイヤケーブル1.5m付・C型20Aプラグ付<br>付属品：フィルタホルダ（6型：195×195）・落下防止ワイヤー<br>天井吊下型、6型、SS型フレネル（非球面）レンズ<br>注）ハンガーは別売です。","NQ30442BT","81400",
"舞台演出用　天井吊下型　スポットライト　SS型フレネル（非球面）レンズ　6型　CROCCO （クロッコ）","推奨ランプ：JP100V 500WC／G-5N（GYX9.5）（別売）<br>電源ケーブル：キャブタイヤケーブル1.5m付・C型20Aプラグ付<br>付属品：フィルタホルダ（6型：195×195）・落下防止ワイヤー<br>天井吊下型、6型、SS型フレネル（非球面）レンズ<br>注）ハンガーは別売です。","NQ30442WT","92400",
"舞台演出用　天井吊下型　スポットライト　SH形フレネル（非球面）レンズ　6型　CROCCO （クロッコ）","推奨ランプ：JP100V 500WC／G-5N（GYX9.5）（別売）<br>電源ケーブル：キャブタイヤケーブル1.5m付・C型20Aプラグ付<br>付属品：フィルタホルダ（6型：195×195）・落下防止ワイヤー<br>天井吊下型、6型、SH形フレネル（非球面）レンズ<br>注）ハンガーは別売です。","NQ30444B","85800",
"舞台演出用　天井吊下型　スポットライト　SH形フレネル（非球面）レンズ　6型　CROCCO （クロッコ）","推奨ランプ：JP100V 500WC／G-5N（GYX9.5）（別売）<br>電源ケーブル：キャブタイヤケーブル1.5m付・C型20Aプラグ付<br>付属品：フィルタホルダ（6型：195×195）・落下防止ワイヤー<br>天井吊下型、6型、SH形フレネル（非球面）レンズ<br>注）ハンガーは別売です。","NQ30444W","95700",
