"タイトル","説明","品物番号","定価",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：126 mm　<br>出しろ：138 mm<br>質量：0.4 kg<br>器具光束：418 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：97.2 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>入隅コーナー用<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87060Z","16300",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：126 mm　<br>出しろ：138 mm<br>質量：0.4 kg<br>器具光束：418 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：97.2 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>入隅コーナー用<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87061Z","17400",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：126 mm　<br>出しろ：138 mm<br>質量：0.4 kg<br>器具光束：418 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：97.2 lm/W<br>デザイン分類：Natural<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>入隅コーナー用<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87062Z","17400",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：126 mm　<br>出しろ：138 mm<br>質量：0.4 kg<br>器具光束：418 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：97.2 lm/W<br>デザイン分類：Villa Resort<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>入隅コーナー用<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87063Z","17400",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球50形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：110 mm　<br>出しろ：170 mm<br>質量：0.3 kg<br>器具光束：282 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：65.5 lm/W<br>デザイン分類：Stylish Modern<br>壁直付型<br>Ra80<br>入隅コーナー用<br>50形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87026F","16800",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球50形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：110 mm　<br>出しろ：170 mm<br>質量：0.4 kg<br>器具光束：264 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：61.3 lm/W<br>デザイン分類：Natural<br>【木製】ライトナチュラル<br>壁直付型<br>Ra80<br>入隅コーナー用<br>50形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87010F","22800",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球50形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：110 mm　<br>出しろ：170 mm<br>質量：0.4 kg<br>器具光束：264 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：61.3 lm/W<br>デザイン分類：Natural<br>【木製】ミディアムブラウン<br>壁直付型<br>Ra80<br>入隅コーナー用<br>50形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87011F","22800",
"壁直付型　LED（電球色）　入隅コーナー用ブラケット　LED電球交換型　白熱電球50形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：110 mm　<br>出しろ：170 mm<br>質量：0.4 kg<br>器具光束：264 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：61.3 lm/W<br>デザイン分類：Villa Resort<br>【木製】ダークブラウン<br>壁直付型<br>Ra80<br>入隅コーナー用<br>50形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB87012F","22800",
