"タイトル","説明","品物番号","定価",
"天井吊下型　LED（昼光色・電球色）　ペンダント　引掛シーリング方式　～8畳　～8畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ380 mm　<br>高：160 mm　<br>全高：400～1800 mm 調節可能<br>質量：2.4 kg<br>器具光束：3500 lm　<br>電圧：100 V　<br>消費電力：30.9 W　<br>消費効率：113.2 lm/W<br>畳数：～8畳<br>【プラスチックカバー】乳白つや消し<br>【セード】グレー<br>天井吊下型、～8畳、引掛シーリング方式<br>昼光色Ra83<br>電球色Ra83<br>【適合スイッチ】埋込スイッチB（片切）WT5001 （別売）<br>【適合スイッチ】埋込スイッチC（3路）WT5002 （別売）<br>【適合スイッチ】埋込ほたるスイッチB（片切）WTA5051 （別売）<br>【適合スイッチ】埋込ほたるスイッチC（3路）WTA5052 （別売）<br>リモコン（全灯・普段・常夜灯・滅）<br>壁スイッチ切替（全灯→普段→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい密閉カバー<br>コード140cm収納可能<br>コードハンガー付<br>引掛シーリング方式<br>コード収納型フランジ<br>55度までの傾斜天井に取付可能（コードハンガー使用時のみ）<br>※適合壁スイッチ1台に対し、8台まで接続可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.32 A<br>","LGBZ6182","69000",
"配線ダクト取付型　LED（昼光色・電球色）　ペンダント　～8畳　～8畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ380 mm　<br>高：160 mm　<br>全高：700～1200 mm 調節可能<br>質量：2.4 kg<br>器具光束：3500 lm　<br>電圧：100 V　<br>消費電力：30.9 W　<br>消費効率：113.2 lm/W<br>畳数：～8畳<br>【プラスチックカバー】乳白つや消し<br>【セード】グレー<br>配線ダクト取付型、～8畳<br>昼光色Ra83<br>電球色Ra83<br>【適合スイッチ】埋込スイッチB（片切）WT5001 （別売）<br>【適合スイッチ】埋込スイッチC（3路）WT5002 （別売）<br>【適合スイッチ】埋込ほたるスイッチB（片切）WTA5051 （別売）<br>【適合スイッチ】埋込ほたるスイッチC（3路）WTA5052 （別売）<br>リモコン（全灯・普段・常夜灯・滅）<br>壁スイッチ切替（全灯→普段→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい密閉カバー<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>※適合壁スイッチ1台に対し、8台まで接続可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.32 A<br>引掛シーリングには取り付け不可<br>","LGBZ6192","69000",
