"タイトル","説明","品物番号","定価",
"天井直付型・壁直付型・据置取付型　LED（電球色）　スポットライト　プラスチックセードタイプ　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ7.1W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ75 mm　<br>高：146 mm　<br>出しろ：146 mm<br>質量：0.45 kg<br>器具光束：646 lm　<br>電圧：100 V　<br>消費電力：7.1 W　<br>消費効率：90.9 lm/W<br>【プラスチックセード】乳白つや消し<br>天井直付型・壁直付型・据置取付型、プラスチックセードタイプ<br>Ra80<br>照射方向可動型<br>可動範囲上下80度<br>回転方向360度<br>壁面・天井面・据置取付専用<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.123 A<br>調光操作不可<br>照射面近接限度10cm<br>","LGS1005LK","27900",
"配線ダクト取付型　LED（電球色）　スポットライト　プラスチックセードタイプ　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ7.1W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：0.45 kg<br>器具光束：646 lm　<br>電圧：100 V　<br>消費電力：7.1 W　<br>消費効率：90.9 lm/W<br>【プラスチックセード】乳白つや消し<br>配線ダクト取付型、プラスチックセードタイプ<br>Ra80<br>100V配線ダクト用<br>照射方向可動型<br>可動範囲上下80度<br>回転方向360度<br>天井付・壁付（ダクト横向き）取付専用<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.123 A<br>調光操作不可<br>照射面近接限度10cm<br>配線ダクトを壁付する場合はダクトカバーを必ずご使用ください。<br>","LGS1505LK","28900",
