"タイトル","説明","品物番号","定価",
"天井吊下型　LED（温白色）　吹き抜け用ペンダント　拡散タイプ・直付タイプ　LEDユニット交換型　白熱電球60形6灯器具相当／～6畳","LED（温白色タイプ）6個　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ575 mm　<br>高：142 mm　<br>全高：1500～3000 mm 調節可能<br>質量：2 kg<br>器具光束：2790 lm　<br>電圧：100 V　<br>消費電力：27.6 W　<br>消費効率：101 lm/W<br>畳数：～6畳<br>デザイン分類：Casual／Vintage<br>【プラスチックカバー】乳白つや消し<br>天井吊下型、拡散タイプ・直付タイプ<br>Ra83<br>コード支持棒付<br>コード150cm収納可能<br>60形電球6灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.45 A<br>調光操作不可<br>","LGB19629BK CE1","104000",
"天井吊下型　LED（温白色）　吹き抜け用ペンダント　拡散タイプ・直付タイプ　LEDユニット交換型　白熱電球60形6灯器具相当／～6畳","LED（温白色タイプ）6個　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ575 mm　<br>高：142 mm　<br>全高：1500～3000 mm 調節可能<br>質量：2 kg<br>器具光束：2790 lm　<br>電圧：100 V　<br>消費電力：27.6 W　<br>消費効率：101 lm/W<br>畳数：～6畳<br>デザイン分類：Casual／Natural<br>【プラスチックカバー】乳白つや消し<br>天井吊下型、拡散タイプ・直付タイプ<br>Ra83<br>コード支持棒付<br>コード150cm収納可能<br>60形電球6灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.45 A<br>調光操作不可<br>","LGB19629WK CE1","104000",
"天井吊下型　LED（電球色）　吹き抜け用ペンダント　拡散タイプ・直付タイプ　LEDユニット交換型　白熱電球60形6灯器具相当／～6畳","LED（電球色タイプ）6個　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ575 mm　<br>高：142 mm　<br>全高：1500～3000 mm 調節可能<br>質量：2 kg<br>器具光束：2735 lm　<br>電圧：100 V　<br>消費電力：27.6 W　<br>消費効率：99 lm/W<br>畳数：～6畳<br>デザイン分類：Casual／Vintage<br>【プラスチックカバー】乳白つや消し<br>天井吊下型、拡散タイプ・直付タイプ<br>Ra83<br>コード支持棒付<br>コード150cm収納可能<br>60形電球6灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.45 A<br>調光操作不可<br>","LGB19628BK CE1","104000",
"天井吊下型　LED（電球色）　吹き抜け用ペンダント　拡散タイプ・直付タイプ　LEDユニット交換型　白熱電球60形6灯器具相当／～6畳","LED（電球色タイプ）6個　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ575 mm　<br>高：142 mm　<br>全高：1500～3000 mm 調節可能<br>質量：2 kg<br>器具光束：2735 lm　<br>電圧：100 V　<br>消費電力：27.6 W　<br>消費効率：99 lm/W<br>畳数：～6畳<br>デザイン分類：Casual／Natural<br>【プラスチックカバー】乳白つや消し<br>天井吊下型、拡散タイプ・直付タイプ<br>Ra83<br>コード支持棒付<br>コード150cm収納可能<br>60形電球6灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.45 A<br>調光操作不可<br>","LGB19628WK CE1","104000",
