"タイトル","説明","品物番号","定価",
"舞台演出用　パイプ取付型　ハロゲン電球　ボーダーライト　連結用・3回路用配線","適合ランプ：JD100V 200W・P／EN×9灯（E11）（別売）　　3,320円×9灯　合計29,880円(税抜)　　JD100V 130W・NP／EN×9灯（E11）（別売）　　2,920円×9灯　合計26,280円(税抜)　　JD100V 85W・NP／E×9灯（E11）（別売）　　2,750円×9灯　合計24,750円(税抜)<br>幅：1800 mm　<br>長：192 mm<br>質量：15.4 kg<br>回路数：3回路<br>付属品：フィルタホルダ（6型：195×195）<br>パイプ取付型、連結用・3回路用配線<br>連結用<br>調光範囲：0～100％","NQ34040K","156000",
"舞台演出用　パイプ取付型　ハロゲン電球　ボーダーライト　電源取口用・3回路用配線","適合ランプ：JD100V 200W・P／EN×9灯（E11）（別売）　　3,320円×9灯　合計29,880円(税抜)　　JD100V 130W・NP／EN×9灯（E11）（別売）　　2,920円×9灯　合計26,280円(税抜)　　JD100V 85W・NP／E×9灯（E11）（別売）　　2,750円×9灯　合計24,750円(税抜)<br>幅：1800 mm　<br>長：192 mm<br>質量：17 kg<br>回路数：3回路<br>付属品：フィルタホルダ（6型：195×195）<br>電源端子台付<br>パイプ取付型、電源取口用・3回路用配線<br>電源取口用<br>調光範囲：0～100％","NQ34041K","178000",
