"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　埋込穴φ75　白熱電球60形1灯器具相当　LED 60形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：570 lm　<br>電圧：100～242 V　<br>消費電力：4.2 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.044 A<br>入力電流（200V時）：0.025 A<br>入力電流（242V時）：0.024 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND0606BNK LE9","17200",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　埋込穴φ75　白熱電球60形1灯器具相当　LED 60形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：570 lm　<br>電圧：100～242 V　<br>消費電力：4.2 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.044 A<br>入力電流（200V時）：0.025 A<br>入力電流（242V時）：0.024 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND0606WNK LE9","17200",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　埋込穴φ75　白熱電球60形1灯器具相当　LED 60形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：570 lm　<br>電圧：100～242 V　<br>消費電力：4.2 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.044 A<br>入力電流（200V時）：0.025 A<br>入力電流（242V時）：0.024 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND0607SNK LE9","17200",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　埋込穴φ75　白熱電球60形1灯器具相当　LED 60形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：570 lm　<br>電圧：100～242 V　<br>消費電力：4.2 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.044 A<br>入力電流（200V時）：0.025 A<br>入力電流（242V時）：0.024 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND0607WWK LE9","17200",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ75　白熱電球60形1灯器具相当　LED 60形","LED（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：570 lm　<br>電圧：100～242 V　<br>消費電力：4.2 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ブラックつや消し仕上）<br>【枠】鋼板（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.044 A<br>入力電流（200V時）：0.025 A<br>入力電流（242V時）：0.024 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND0609BVK LE9","14800",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：950 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1007BWK LE9","21300",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：950 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1007WVK LE9","21300",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1575 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1506BNK LE9","27700",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1575 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1507SNK LE9","27700",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1575 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1507WWK LE9","27700",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：950 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1007BWK LJ9","25000",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：950 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1007WVK LJ9","25000",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1575 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ブラックつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角45度・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1506BNK LJ9","31400",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1575 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（銀色鏡面仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1507SNK LJ9","31400",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：112 mm<br>質量：0.7 kg<br>器具光束：1575 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：135.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1507WWK LJ9","31400",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角50度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：1030 lm　<br>電圧：100～242 V　<br>消費電力：7.6 W　<br>消費効率：135.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ホワイトつや消し仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角50度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.078 A<br>入力電流（200V時）：0.041 A<br>入力電流（242V時）：0.035 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1008WNK DD9","28100",
"天井埋込型　LED（白色）　ダウンライト　ビーム角50度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ85　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：1030 lm　<br>電圧：100～242 V　<br>消費電力：7.6 W　<br>消費効率：135.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角50度・広角タイプ・光源遮光角15度<br>Ra85<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.078 A<br>入力電流（200V時）：0.041 A<br>入力電流（242V時）：0.035 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは125mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1018WWK DD9","28100",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角50度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：1640 lm　<br>電圧：100～242 V　<br>消費電力：12.1 W　<br>消費効率：135.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ホワイトつや消し仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角50度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.062 A<br>入力電流（242V時）：0.053 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは150mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1508WVK DD9","34800",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角50度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ85　コンパクト形蛍光灯FHT42形1灯器具相当　LED 200形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：2060 lm　<br>電圧：100～242 V　<br>消費電力：15.2 W　<br>消費効率：135.5 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角50度・広角タイプ・光源遮光角15度<br>Ra85<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>DALI‐2（国際標準規格の照明制御通信方式）対応<br>入力電流（100V時）：0.156 A<br>入力電流（200V時）：0.077 A<br>入力電流（242V時）：0.065 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは125mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND2018WNK DD9","41100",
