"タイトル","説明","品物番号","定価",
"天井直付型　LED（電球色）　ダウンシーリング　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ114 mm　<br>高：137 mm<br>質量：0.7 kg<br>器具光束：312 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：72.5 lm/W<br>デザイン分類：現代和風<br>【白磁セード】すかし磁器<br>天井直付型<br>Ra80<br>40形電球1灯器具相当<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB58077F","22800",
"天井直付型　LED（電球色）　ダウンシーリング　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ114 mm　<br>高：137 mm<br>質量：0.6 kg<br>器具光束：308 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：71.6 lm/W<br>デザイン分類：現代和風<br>【陶器セード】外面黒鉄釉・内面粉引<br>天井直付型<br>Ra80<br>40形電球1灯器具相当<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>直下近接限度30cm<br>","LGB58078F","22800",
"天井直付型　LED（電球色）　ダウンシーリング　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ114 mm　<br>高：137 mm<br>質量：0.6 kg<br>器具光束：308 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：71.6 lm/W<br>デザイン分類：現代和風<br>【陶器セード】外面粉引・内面粉引<br>天井直付型<br>Ra80<br>40形電球1灯器具相当<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>直下近接限度30cm<br>","LGB58079F","22800",
