"タイトル","説明","品物番号","定価","note","isCombo",
"40形　ライトバー　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>省エネタイプ・6900 lmタイプ・温白色<br/>Ra83<br/>注）調光はできません。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600HV LE9","49400","","1",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　スリムベース　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：250 mm　<br/>長：1250 mm　<br/>高：53 mm<br/>質量：3.7 kg<br/>器具光束：9290 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：165.8 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、一般タイプ・10000 lmタイプ・温白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX400SEV LR9","58300","","",
"天井直付型　40形　一体型LEDベースライト　スリムベース　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：250 mm　<br/>長：1250 mm　<br/>高：53 mm<br/>質量：3.7 kg<br/>器具光束：9290 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：165.8 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、一般タイプ・10000 lmタイプ・温白色<br/>Ra83<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）調光はできません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX400SEV LE9","55300","","",
"学校用　天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　スクールコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1254 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：85 mm<br/>質量：3.1 kg<br/>器具光束：6020 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：165.8 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、スクールコンフォートタイプ・省エネタイプ・6900 lmタイプ・白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）適合調光器（別売）をご使用ください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX468GHW LA9","48700","","",
"学校用　天井埋込型　40形　一体型LEDベースライト　スクールコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1254 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：85 mm<br/>質量：3.1 kg<br/>器具光束：6020 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：165.8 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、スクールコンフォートタイプ・省エネタイプ・6900 lmタイプ・白色<br/>Ra83<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX468GHW LE9","45700","","",
"天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　下面開放型　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：250 mm　<br/>長：1251 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：20 mm<br/>質量：2.9 kg<br/>器具光束：9280 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：165.7 lm/W<br/>【本体】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、一般タイプ・10000 lmタイプ・温白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX400TEV LR9","60700","","",
"天井埋込型　40形　一体型LEDベースライト　下面開放型　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：250 mm　<br/>長：1251 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：20 mm<br/>質量：2.9 kg<br/>器具光束：9280 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：165.7 lm/W<br/>【本体】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、一般タイプ・10000 lmタイプ・温白色<br/>Ra83<br/>800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>注）調光はできません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX400TEV LE9","57700","","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　ウォールウォッシャ　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：115 mm　<br/>長：1230 mm　<br/>高：90 mm<br/>質量：2.7 kg<br/>器具光束：3080 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：18.6 W　<br/>消費効率：165.5 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・3200 lmタイプ・昼白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX430WHN LA9","40700","","",
"天井直付型　40形　一体型LEDベースライト　ウォールウォッシャ　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：115 mm　<br/>長：1230 mm　<br/>高：90 mm<br/>質量：2.7 kg<br/>器具光束：3080 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：18.6 W　<br/>消費効率：165.5 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・3200 lmタイプ・昼白色<br/>Ra83<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）調光はできません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX430WHN LE9","37700","","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　コーナーライト　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：120 mm　<br/>長：1245 mm　<br/>高：120 mm<br/>質量：3.3 kg<br/>器具光束：9260 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約5～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：165.3 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、一般タイプ・10000 lmタイプ・温白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX400CEV LR9","62000","","",
"天井直付型　40形　一体型LEDベースライト　コーナーライト　Hf蛍光灯32形高出力型3灯器具相当／Hf蛍光灯63形定格出力型2灯器具相当　Hf蛍光灯32形高出力型3灯／Hf蛍光灯63形定格出力型2灯・10000 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：120 mm　<br/>長：1245 mm　<br/>高：120 mm<br/>質量：3.3 kg<br/>器具光束：9260 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：56 W　<br/>消費効率：165.3 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、一般タイプ・10000 lmタイプ・温白色<br/>Ra83<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）調光はできません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX400CEV LE9","59000","","",
"学校用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　スクールコンフォート　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1261 mm　<br/>高：75 mm<br/>質量：3.9 kg<br/>器具光束：4350 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：165.3 lm/W<br/>【本体】鋼板（高反射白色粉体塗装）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、スクールコンフォートタイプ・省エネタイプ・5200 lmタイプ・温白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>【オプション（別売）】直付施工用取付アダプタNNFK41009<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX455GHV LA9","52000","受注品","",
"学校用　天井直付型　40形　一体型LEDベースライト　スクールコンフォート　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1261 mm　<br/>高：75 mm<br/>質量：3.9 kg<br/>器具光束：4350 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：165.3 lm/W<br/>【本体】鋼板（高反射白色粉体塗装）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、スクールコンフォートタイプ・省エネタイプ・5200 lmタイプ・温白色<br/>Ra83<br/>【オプション（別売）】直付施工用取付アダプタNNFK41009<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX455GHV LE9","49000","","",
"学校用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　スクールコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1261 mm　<br/>高：75 mm<br/>質量：3.9 kg<br/>器具光束：6000 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：165.2 lm/W<br/>【本体】鋼板（高反射白色粉体塗装）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、スクールコンフォートタイプ・省エネタイプ・6900 lmタイプ・白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>【オプション（別売）】直付施工用取付アダプタNNFK41009<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX465GHW LA9","56000","","",
"学校用　天井直付型　40形　一体型LEDベースライト　スクールコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1261 mm　<br/>高：75 mm<br/>質量：3.9 kg<br/>器具光束：6000 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：165.2 lm/W<br/>【本体】鋼板（高反射白色粉体塗装）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、スクールコンフォートタイプ・省エネタイプ・6900 lmタイプ・白色<br/>Ra83<br/>【オプション（別売）】直付施工用取付アダプタNNFK41009<br/>遮光角：横方向24度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX465GHW LE9","53000","","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　Dスタイル／富士型　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（白色）　<br/>色温度：4000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.1 kg<br/>器具光束：3070 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：18.6 W　<br/>消費効率：165 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・3200 lmタイプ・白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）調光機能をご使用の場合（信号線を引き込む場合）、吊具は使用できません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX430AHW LA9","30750","受注品","",
