"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ400　下面開放型　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.5 kg<br>器具光束：18050 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：138.3 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9941SSK LR9","246800",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角65度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ400　下面開放型　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.5 kg<br>器具光束：17900 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：137.1 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角65度・拡散タイプ・光源遮光角15度<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9940SSK LR9","246800",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角80度・拡散タイプ・拡散パネル付タイプ　調光タイプ（ライコン別売）／埋込穴φ400　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.7 kg<br>器具光束：17250 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：132.1 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【パネル】アクリル（乳白つや消し）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角80度・拡散タイプ・拡散パネル付タイプ<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9941FSK LR9","261500",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角60度・拡散タイプ・拡散パネル付タイプ　調光タイプ（ライコン別売）／埋込穴φ400　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.7 kg<br>器具光束：17000 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：130.2 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【パネル】アクリル（乳白つや消し）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角60度・拡散タイプ・拡散パネル付タイプ<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9940FSK LR9","261500",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ400　下面ガード付タイプ　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.7 kg<br>器具光束：16900 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：129.5 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【ガード】鋼線（ホワイトつや消し仕上）<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9941GSK LR9","273300",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角65度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ400　下面ガード付タイプ　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.7 kg<br>器具光束：16500 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：126.4 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【ガード】鋼線（ホワイトつや消し仕上）<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角65度・拡散タイプ・光源遮光角15度<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9940GSK LR9","273300",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角80度・拡散タイプ・拡散パネル付タイプ　調光タイプ（ライコン別売）／埋込穴φ400　下面ガード付タイプ　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.9 kg<br>器具光束：16450 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：126 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【ガード】鋼線（ホワイトつや消し仕上）<br>【パネル】アクリル（乳白つや消し）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角80度・拡散タイプ・拡散パネル付タイプ<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9941PSK LR9","286900",
"天井埋込型　LED（昼白色）　高天井用ダウンライト　ビーム角60度・拡散タイプ・拡散パネル付タイプ　調光タイプ（ライコン別売）／埋込穴φ400　下面ガード付タイプ　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：372 mm<br>質量：8.9 kg<br>器具光束：15950 lm　<br>電圧：100～242 V　<br>消費電力：130.5 W　<br>消費効率：122.2 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【ガード】鋼線（ホワイトつや消し仕上）<br>【パネル】アクリル（乳白つや消し）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角60度・拡散タイプ・拡散パネル付タイプ<br>Ra70<br>【適合オプション（別売）】傾斜天井用枠15度NK09915Z<br>【適合オプション（別売）】傾斜天井用枠20度NK09920Z<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>調光範囲（約5％～100％）<br>●天井面取付専用<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは472mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）高天井用ダウンライトを傾斜天井に取り付ける場合は、必ず適合傾斜天井枠（別売）と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9940PSK LR9","286900",
