"タイトル","説明","品物番号","定価",
"埋込ボックス取付専用　LED（電球色）　フットライト　LED電球交換型・防雨型　パネル付型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：260 mm　<br>高：113 mm　<br>出しろ：16 mm<br>質量：0.8 kg<br>器具光束：118 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：27.4 lm/W<br>【アクリルパネル】乳白<br>【アルミダイカスト枠】オフブラック<br>埋込ボックス取付専用<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>取付には専用のボックスDS4915〔別売〕が必要です。<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW75000F","26200",
"壁埋込型　LED（電球色）　フットライト　LED電球交換型　HomeArchi（ホームアーキ）　白熱電球25形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：115 mm　<br>高：115 mm　<br>出しろ：4 mm　<br>埋込穴角：□100 mm　<br>埋込深：95 mm<br>質量：0.4 kg<br>器具光束：95 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：22 lm/W<br>デザイン分類：Stylish Modern<br>壁埋込型<br>Ra80<br>埋込型<br>壁材の厚さ9～14mmにのみ取付可能<br>25形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>器具施工時の埋込深さは95mm以上必要です。<br>埋込穴の上方に100mm以上の空間が必要です。<br>","LGB80525F","22600",
