"タイトル","説明","品物番号","定価",
"天井直付型　LED（電球色）　小型シーリングライト　40形電球1灯相当（照射面中心60形電球1灯相当）　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：181 mm<br>質量：0.6 kg<br>器具光束：347 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：80.6 lm/W<br>デザイン分類：Casual<br>【ガラスセード】つや消し<br>天井直付型、40形電球1灯相当（照射面中心60形電球1灯相当）<br>Ra80<br>40形電球1灯器具相当（照射面中心60形電球1灯器具相当）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB58000F","11800",
"天井直付型・壁直付型　LED（電球色）　小型シーリングライト　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ260 mm　<br>高：162 mm<br>質量：1.6 kg<br>器具光束：343 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：79.7 lm/W<br>デザイン分類：Casual<br>【ガラスカバー】乳白つや消し<br>天井直付型・壁直付型<br>Ra80<br>カバーキャッチ付<br>天井面・壁面取付専用<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB58008F","19400",
